challenge_id,difficulty,no_pre_mine,no_pre_mine_hour,latest_submission
"**D09C01","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","254941663","2025-11-07T23:59:59.000Z"
"**D09C02","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","551690953","2025-11-08T00:59:59.000Z"
"**D09C03","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","276473641","2025-11-08T01:59:59.000Z"
"**D09C04","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","303464018","2025-11-08T02:59:59.000Z"
"**D09C05","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","607245922","2025-11-08T03:59:59.000Z"
"**D09C06","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","952599992","2025-11-08T04:59:59.000Z"
"**D09C07","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","755664011","2025-11-08T05:59:59.000Z"
"**D09C08","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","697457288","2025-11-08T06:59:59.000Z"
"**D09C09","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","675389141","2025-11-08T07:59:59.000Z"
"**D09C11","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","604763036","2025-11-08T09:59:59.000Z"
"**D09C13","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","467110041","2025-11-08T11:59:59.000Z"
"**D09C14","00007777","9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e","538133824","2025-11-08T12:59:59.000Z"
